Référence_spécification|indice_spécification|intitulé|Validate|Remove
V02 NT 11 00303|02|CALCUL DES CONSIGNES SPECIFIQUES DE POSITION PAPILLON MOTORISE EN BOUCLE FERMEE|0|0
V02 NT 11 00995|01|GESTION DE LA RÉFÉRENCE D’IDENTIFICATION ETALONNAGE|0|0
V02 NT 11 01163|01|RECORD THE CRANKSHAFT TEETH DURATION|0|0
V02 NT 11 01190|01|Safety TMS : sécuriser RVV|0|0
V02 NT 11 01213|02|SAFETY TMS : INTERFACE AUTORISATION DEFAUT STT|0|0
V02 NT 11 01471|01|Offset d'avance limite cliquetis|0|0
V02 NT 11 01472|01|Offset d'avance minimale|0|0
V02 NT 11 01473|01|Déformation de la courbe unique|0|0
V02 NT 11 01474|01|OFFSET D'AVANCE OPTIMALE|0|0
V02 NT 11 02024|01|Three Way Catalyst Heating Manager|0|0
V02 NT 11 02164|02|Limitation balayage et coordination des consignes VVT|0|0
V02 NT 11 02165|01|Correction altimétrique de la charge en air|0|0
V02 NT 11 02166|01|Gestion de la consigne VVT admission|0|0
V02 NT 11 02167|02|Gestion de la consigne VVT échappement|0|0
V02 NT 11 02175|01|Dump Valve Actuator Test|0|0
V02 NT 11 02272|01|ELABORATION DES MESSAGES CAN POUR ALLUMAGE DES VOYANTS NON REGLEMENTAIRES|0|0
V02 NT 11 02549|03|MODE BANC POUR LA CALIBRATION DE LA DETECTION RUMBLE|0|0
V02 NT 11 02653|01|Réserve de couple chauffage habitacle|0|0
V02 NT 11 02659|02|Coordination des réserves|0|0
V02 NT 11 02660|01|Réserve de couple alternateur|0|0
V02 NT 11 02903|01|OFFSET T3 SOUPAPE|0|0
V02 NT 11 02911|01|SPECIFICATION D'INTERFACE ENTRE LE JDD ET L'ISCAN|1|0
V02 NT 11 03031|01|Interface modulaire du calcul du régime pour le régime recentré|0|0
V02 NT 11 03254|02|Calcul des conditions d’incrémentation des dénominateurs specifiques de l’iupr|0|0
V02 NT 11 03256|01|IUPR DEACTIVATION|1|0
V02 NT 11 03549|06|Gestion des diagnostics Safety du BPM|0|0
V02 NT 11 03594|02|DIAGNOSTIC FONCTIONNEL DE LA PRESSION DE ATMOSPHERIQUE|0|0
V02 NT 11 03742|02|REQUETE DE BOOST VOLTCTL POUR SONDES O2|0|0
V02 NT 11 03796|03|GESTION DE L’INFORMATION PEDALE DE FREIN|0|0
V02 NT 11 04106|3|DIAGNOSTIC LEVEL 2
V02 NT 11 04404|01|Power Latch Marker|0|0
V02 NT 11 04668|01|Sport Mode Supervisor|0|0
V02 NT 11 04673|01|Cooling Request for Knock Control|0|0
V02 NT 11 04680|01|Battery voltage boost request|0|0
V02 NT 11 04686|01|Protection Differentiel et Surchauffe Frein|0|0
V02 NT 11 04687|01|Clutch protection for manual gearbox|0|0
V02 NT 11 04787|03|DEFINITION DES TRAMES EOBD POUR LE MODE 06|1|0
V02 NT 11 05149|02|DEFINITION DES PID SUPPORTES POUR LE DIAGNOSTIC OBD ET LES SERVICES CONSTRUCTEURS|1|0
V02 NT 11 05439|01|determines the condition to require the closed loop for low torque|0|0
V02 NT 11 05440|02|DEBORNAGE AVANCE MIN POUR ESP SECURITAIRE|0|0
V02 NT 11 05583|02|Misfire counter for OBD Mode$6|0|0
V02 NT 11 05704|01|Calcul de la masse O2 dans le catalyseur|0|0
V02 NT 11 06065|06|SPECIFICATION D’INTERFACE POUR LES BESOINS DE LA XVV|0|0
V02 NT 11 06099|3|DEFINITION DES SERVICES EOBD|0|0
V02 NT 11 06115|03|PFC Configuration|0|0
V02 NT 11 06916|01|Actuator test of Electronically Controlled Thermostat|0|0
V02 NT 11 06970|01|INTERFACE OF CATMDL FUNCTION|0|0
V02 NT 11 07695|02|Interface de la chaîne d’avance|0|0
V02 NT 11 07837|01|Gestion de la demande de coupure injection pour la BVMP|0|0
V02 NT 11 07942|03|Diagnostic Fonctionnel Sonde Aval|0|0
V02 NT 11 08258|01|GESTION DES CONSIGNES DE COUPLE POUR L'INTER-SYSTEMES EN MODE DEGRADE MOTEUR|0|0
V02 NT 12 00470|01|Diagnostic fonctionnel chauffage sonde amont et aval|0|0
V02 NT 12 00518|01|Rumble Critical Zone Detection|0|0
V02 NT 12 00679|02|VERIFICATION DES CONDITIONS DE STABILITE DU POINT DE FONCTIONNEMENT DU MOTEUR AU RALENTI|0|0
V02 NT 12 00919|02|COHERENCE CAN INFOS_EOBD_BSI|0|0
V02 NT 12 00929|01|Interface besoin électrique moteur essence|0|0
V02 NT 12 01019|01|SPECIFICATION D’INTERFACE ENTRE LA FONCTION XVV ET L’ ISCAN|0|0
V02 NT 12 01298|04|PRESSURE SENSORS COHERENCY DIAGNOSIS|0|0
V02 NT 12 01358|01|INTERFACAGE DE LA FONCTION FAR|0|0
V02 NT 12 02202|02|DUMP-VALVE COMMAND ARBITRATION|0|0
V02 NT 12 02237|03|RUMBLE SIGNAL ACQUISITION PARAMETER CONFIGURATION.|0|0
V02 NT 12 04035|02|SPÉCIFICATION D'INTERFACE POUR LE DIAGNOSTIC CATALYSEUR|0|0
V02 NT 12 04370|01| Aftersales memorization management of Vehicle speed control|0|0
V02 NT 12 05323|01|ACTUATOR TEST OF POSITIVE TEMPERATURE COEFFICIENT|0|0
V02 NT 12 05332|01|ACTUATOR TEST OF DRIVEN FLAP|0|0
V03 NT 10 08984|01|ANGSCHED External Architecture|0|0
V03 NT 10 09168|01|ANGSCHED Integration Plan|0|0
V03 NT 11 03987|05|CAMHAL Software Component Design Document|0|0
V03 NT 11 04452|03|CRKHAL SOFTWARE COMPONENT DESIGN DOCUMENT|0|0
V03 NT 11 07330|02|PTMHAL SOFTWARE COMPONENT DESIGN DOCUMENT|0|0
VEMS V02 ECU#069167|||0|0
